ID,x.coord,y.coord,angle,distance,RSSI,rel,dist1
24538,0,0,270,5,-56,-126.8698976,"(4,5]"
24539,0,0,300,5,-56,-96.86989765,"(4,5]"
24540,0,0,330,5,-59,-66.86989765,"(4,5]"
24541,0,1,0,4.472135955,-56,-26.56505118,"(4,5]"
24542,0,1,30,4.472135955,-58,3.434948823,"(4,5]"
24546,0,1,150,4.472135955,-59,123.4349488,"(4,5]"
24547,0,1,180,4.472135955,-62,153.4349488,"(4,5]"
24549,0,1,240,4.472135955,-56,-146.5650512,"(4,5]"
24550,0,1,270,4.472135955,-47,-116.5650512,"(4,5]"
24551,0,1,300,4.472135955,-48,-86.56505118,"(4,5]"
24552,0,1,330,4.472135955,-50,-56.56505118,"(4,5]"
24553,0,2,0,4.123105626,-47,-14.03624347,"(4,5]"
24554,0,2,30,4.123105626,-52,15.96375653,"(4,5]"
24555,0,2,60,4.123105626,-58,45.96375653,"(4,5]"
24557,0,2,120,4.123105626,-59,105.9637565,"(4,5]"
24558,0,2,150,4.123105626,-60,135.9637565,"(4,5]"
24560,0,2,210,4.123105626,-56,-164.0362435,"(4,5]"
24561,0,2,240,4.123105626,-51,-134.0362435,"(4,5]"
24562,0,2,270,4.123105626,-46,-104.0362435,"(4,5]"
24563,0,2,300,4.123105626,-44,-74.03624347,"(4,5]"
24564,0,2,330,4.123105626,-44,-44.03624347,"(4,5]"
24565,0,3,0,4,-41,0,"(3,4]"
24566,0,3,30,4,-44,30,"(3,4]"
24567,0,3,60,4,-45,60,"(3,4]"
24568,0,3,90,4,-52,90,"(3,4]"
24569,0,3,120,4,-58,120,"(3,4]"
24571,0,3,180,4,-59,180,"(3,4]"
24574,0,3,270,4,-53,-90,"(3,4]"
24575,0,3,300,4,-46,-60,"(3,4]"
24576,0,3,330,4,-42,-30,"(3,4]"
24577,0,4,0,4.123105626,-45,14.03624347,"(4,5]"
24578,0,4,30,4.123105626,-44,44.03624347,"(4,5]"
24579,0,4,60,4.123105626,-44,74.03624347,"(4,5]"
24580,0,4,90,4.123105626,-45,104.0362435,"(4,5]"
24581,0,4,120,4.123105626,-48,134.0362435,"(4,5]"
24582,0,4,150,4.123105626,-56,164.0362435,"(4,5]"
24584,0,4,210,4.123105626,-58,-135.9637565,"(4,5]"
24585,0,4,240,4.123105626,-59,-105.9637565,"(4,5]"
24587,0,4,300,4.123105626,-62,-45.96375653,"(4,5]"
24588,0,4,330,4.123105626,-52,-15.96375653,"(4,5]"
24589,0,5,0,4.472135955,-53,26.56505118,"(4,5]"
24591,0,5,60,4.472135955,-47,86.56505118,"(4,5]"
24592,0,5,90,4.472135955,-46,116.5650512,"(4,5]"
24593,0,5,120,4.472135955,-52,146.5650512,"(4,5]"
24594,0,5,150,4.472135955,-56,176.5650512,"(4,5]"
24602,0,6,30,5,-57,66.86989765,"(4,5]"
24603,0,6,60,5,-59,96.86989765,"(4,5]"
24611,0,6,300,5,-59,-23.13010235,"(4,5]"
24613,1,0,0,4.242640687,-56,-45,"(4,5]"
24617,1,0,120,4.242640687,-56,75,"(4,5]"
24618,1,0,150,4.242640687,-56,105,"(4,5]"
24619,1,0,180,4.242640687,-57,135,"(4,5]"
24620,1,0,210,4.242640687,-60,165,"(4,5]"
24621,1,0,240,4.242640687,-60,-165,"(4,5]"
24622,1,0,270,4.242640687,-54,-135,"(4,5]"
24623,1,0,300,4.242640687,-51,-105,"(4,5]"
24624,1,0,330,4.242640687,-53,-75,"(4,5]"
24625,1,1,0,3.605551275,-52,-33.69006753,"(3,4]"
24626,1,1,30,3.605551275,-59,-3.690067526,"(3,4]"
